Module Code,Title
CH2273,Chinese Media in Singapore: Theory and Practice
CH2274,Discovering the Chinese Business Environment
CH2291,Chinese Tradition
CH2291,Chinese Tradition (taught in English)
CH2292A,Understanding Modern China Through Film (taught in English)
CH2292A,Understanding Modern China Through Film
CH2293,Introduction to Chinese Art
CH2295,Commerce and Culture in China's Past
CH3221,Selected Readings in Chinese Verse
CH3222,Chinese Drama
CH3223,Selected Authors/Texts II
CH3225,Chinese Literature in S'pore & M'sia II
CH3226,Modern Chinese Literature
CH3228,Classical Poetry: Writing and Criticism
CH3243,Chinese Cultural History
CH3244,Topics On Contemporary China
CH3245,Overseas Chinese Society
CH3246,Socio-Political History of Modern China
CH3247,Socio-Economic History of China
CH3248,Contemporary China: 1949 to Present
CH3254,Neo-Confucianism in Chinese History
CH3261,Prescribed Texts II
CH3261,Prescribed Text: The Four Books
CH3291,Contemporary Chinese Culture
CH4202,Chinese Semasiology
CH4203,Chinese Dialectology
CH4204,Selected Topics in Chinese Linguistics
CH4207,History of Chinese Language
CH4222,Chinese Classical Novels
CH4223,Chinese Literary Criticism
CH4224,Studies in Chinese Verse
CH4225,Selected Topics: Chinese Literature III
CH4226,The City in Modern Chinese Literature
CH4242,Selected Periods of Chinese History I
CH4243,Selected Periods of Chinese History II
CH4244,Selected Topics on The Overseas Chinese
CH4245,Selected Topics in Chinese History III
CH4246,Chinese Local History
CH4247,Print Culture in Modern China
CH4251,Modern-Contemporary Chinese Thought
CH4261,Prescribed Texts III
CH4261,Prescribed Text: Zhuangzi
CH4281,Translation Studies
CH5211,Seminar In Chinese Pragmatics
CH5213,Cognitive Linguistics & Chinese Language
CL1101E,Introduction to Chinese Language
CL2101,The Chinese Script : History and Issues
CL2102,Chinese Phonetics
CL2103,Chinese Grammar
CL2121,History of Chinese Literature
CL2204,Chinese Semantics
CL2207,Chinese Language and Culture
CL2208,Aspects of Chinese Linguistics
CL2209,Chinese Language Acquisition
CL2241,General History of China
CL2280,Basic Translation
CL2281,Translation and Interpretation
CL2291,Chinese Anthropolinguistics (taught in English)
CL2291,Chinese Anthropolinguistics
CL3201,Chinese Rhetoric
CL3201,Communicating through Chinese Rhetoric and Metaphors
CL3202,Chinese Lexicology
CL3203,Chinese Discourse Analysis & Pragmatics
CL3204,Classical Chinese
CL3205,Topics on Chinese Linguistics II
CL3207,Chinese Sociolinguistics
CL3208,Chinese Phonology
CL3221,Selected Readings in Chinese Verse
CL3281,Advanced Translation
CM1101,Principles of Modern Chemistry
CM1111,Basic Inorganic Chemistry
CM1111,Inorganic Chemistry 1
CM1121,Basic Organic Chemistry
CM1121,Organic Chemistry 1
CM1131,Basic Physical Chemistry
CM1131,Physical Chemistry 1
CM1161,Principles of Chemical Process I
CM1417,Fundamentals of Chemistry
CM1501,Organic Chemistry for Engineers
CM1502,General and Physical Chemistry for Engineers
CM2101,Principles of Spectroscopy
CM2101,Physical Chemistry 2
CM2102,Spectroscopic Applications
CM2111,Inorganic Chemistry
CM2121,Organic Chemistry
CM2132,Physical Chemistry
CM2142,Analytical Chemistry
CM2142,Analytical Chemistry 1
CM2161,Principles of Chemical Process II
CM2165,Thry & Applc of Spectrscpy of Appld Chem
CM2166,Analytical Chemistry for Appld Chem
CM2167,Physical Chemistry for Appld Chem
CM2263,Materials Chemistry
CM2264,Polymer Chemistry I
CM3212,Transition Metal Chemistry
CM3221,Organic Synthesis and Spectroscopy
CM3222,Organic Reaction Mechanisms
CM3225,Biomolecules
CM3231,Quantum Chem & Molecular Thermodynamics
CM3232,Phy Chem of the Solid State & Interfaces
CM3242,Instrumental Analysis II
CM3251,Nanochemistry
